img, label, ecd.nm, minor.ax.len.nm, major.ax.len.nm, ar, solidity
6, 6, 69.498, 68.4157, 70.712, 1.03356, 0.982088
6, 7, 111.162, 109.909, 112.476, 1.02336, 0.983736
6, 8, 84.5595, 82.9153, 86.3243, 1.04111, 0.982235
6, 9, 94.7013, 94.1032, 95.352, 1.01327, 0.985379
6, 10, 78.9662, 78.6166, 79.4397, 1.01047, 0.984902
6, 11, 75.9908, 75.6127, 76.4365, 1.0109, 0.979962
6, 12, 80.226, 79.667, 80.9274, 1.01582, 0.981704
6, 13, 74.3325, 73.0181, 75.7922, 1.03799, 0.98365
6, 14, 72.5202, 71.7976, 73.3209, 1.02122, 0.985599
6, 15, 79.5692, 78.5749, 80.6912, 1.02693, 0.983692
6, 16, 57.5321, 57.1613, 58.0431, 1.01543, 0.983844
6, 17, 67.7223, 67.1322, 68.5283, 1.0208, 0.980762
6, 18, 77.0075, 75.7953, 78.3704, 1.03398, 0.984749
6, 19, 85.0126, 84.3065, 85.7744, 1.01741, 0.985181
6, 20, 86.8664, 85.3958, 88.446, 1.03572, 0.98604
6, 22, 82.9821, 82.0397, 84.0318, 1.02428, 0.982353
6, 23, 60.6562, 60.1817, 61.2951, 1.0185, 0.983467
6, 25, 66.7888, 66.3297, 67.4206, 1.01645, 0.979021
6, 26, 89.3657, 88.9934, 89.8617, 1.00976, 0.985658
6, 27, 95.9303, 95.1612, 96.796, 1.01718, 0.980823
6, 28, 65.6709, 65.0652, 66.3757, 1.02014, 0.980818
6, 29, 97.0665, 96.4018, 97.8002, 1.01451, 0.982988
6, 30, 97.0182, 95.3722, 98.7862, 1.0358, 0.977043
6, 31, 71.2688, 69.9414, 72.6471, 1.03868, 0.982596
6, 33, 73.4829, 72.3142, 74.7957, 1.03432, 0.985631
6, 34, 89.3971, 88.5084, 90.4203, 1.0216, 0.984758
6, 35, 80.1676, 79.8592, 80.5428, 1.00856, 0.981116
6, 36, 83.4439, 83.1272, 83.8355, 1.00852, 0.986458
6, 37, 93.1247, 93.0488, 93.2895, 1.00259, 0.984049
6, 38, 61.5001, 60.6907, 62.4653, 1.02924, 0.981518
6, 39, 69.9281, 69.1884, 70.8365, 1.02382, 0.982304
6, 41, 74.7223, 74.0672, 75.4103, 1.01813, 0.981225
6, 42, 75.8179, 74.8921, 76.8752, 1.02648, 0.977997
6, 43, 97.2787, 96.8503, 97.755, 1.00934, 0.985555
6, 44, 60.9798, 60.2175, 61.9287, 1.02842, 0.981692
6, 45, 71.3608, 71.334, 71.5355, 1.00283, 0.98264
6, 46, 77.3475, 76.7584, 78.0887, 1.01733, 0.985489
6, 47, 71.203, 70.5954, 71.9353, 1.01898, 0.979363
6, 48, 105.167, 103.596, 106.801, 1.03094, 0.983172
6, 49, 60.6716, 60.1656, 61.3378, 1.01948, 0.982
6, 50, 75.7066, 74.3675, 77.1545, 1.03748, 0.979814
6, 51, 96.9989, 96.1962, 97.8386, 1.01707, 0.983735
6, 52, 76.6049, 75.8257, 77.5248, 1.02241, 0.984591
6, 53, 96.3786, 95.5624, 97.2502, 1.01766, 0.983724
6, 54, 73.2786, 72.3516, 74.2859, 1.02673, 0.977149
6, 55, 62.3175, 62.2342, 62.5547, 1.00515, 0.981061
6, 56, 81.5812, 81.2431, 82.0226, 1.00959, 0.986937
6, 57, 70.4622, 69.2047, 71.8718, 1.03854, 0.981475
6, 58, 69.2278, 67.9389, 70.6756, 1.04028, 0.979693
6, 59, 85.4195, 84.0519, 86.8937, 1.03381, 0.980605
6, 60, 66.126, 65.1624, 67.2959, 1.03274, 0.981902
6, 61, 80.5989, 79.3034, 81.9638, 1.03355, 0.982426
6, 63, 84.3486, 83.3994, 85.4162, 1.02418, 0.982147
6, 64, 71.124, 70.4736, 71.8725, 1.01985, 0.980029
6, 65, 74.8351, 73.0109, 76.8045, 1.05196, 0.981603
6, 66, 100.295, 99.9604, 100.693, 1.00733, 0.982787
6, 67, 60.5479, 60.1396, 61.1192, 1.01629, 0.980943
6, 68, 78.8118, 76.8587, 80.8723, 1.05222, 0.98543
6, 69, 76.5192, 75.4333, 77.686, 1.02986, 0.976861
6, 70, 64.9247, 64.5927, 65.3675, 1.012, 0.972751
6, 71, 73.7376, 73.0419, 74.6107, 1.02148, 0.986399
6, 72, 86.3579, 85.7837, 87.0597, 1.01487, 0.982469
6, 73, 68.8205, 66.4259, 71.352, 1.07416, 0.982886
6, 74, 75.9784, 75.6549, 76.417, 1.01007, 0.983083
6, 76, 85.7043, 84.2802, 87.2727, 1.03551, 0.984673
6, 77, 64.2281, 63.5263, 65.0863, 1.02456, 0.983907
6, 78, 67.8329, 66.9874, 68.7184, 1.02584, 0.984362
6, 79, 75.3343, 74.2902, 76.4814, 1.0295, 0.978036
6, 80, 76.2247, 75.0373, 77.5228, 1.03312, 0.982567
